          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               65536             1.00000             1.50000             0.49988            15.00005             0.00116             0.00000               40116             0.61212                   0                   1
                   3                  10               65536             1.00000             1.50000             0.49988            14.99998             0.00107             0.00000               40184             0.61316                   0                   1
                   3                  10               65536             1.00000             1.50000             0.49987            14.99990             0.00122             0.00000               40271             0.61449                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50000            15.00000             0.00000             0.00000               40201             0.61342                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50012            14.99992             0.00114             0.00000               40304             0.61499                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50014            15.00013             0.00124             0.00000               40267             0.61443                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50013            15.00004             0.00115             0.00000               40359             0.61583                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50012            14.99994             0.00114             0.00000               40029             0.61079                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50013            15.00003             0.00128             0.00000               40235             0.61394                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50012            15.00000             0.00118             0.00000               40269             0.61446                   0                   1
                   3                  10               65536             1.00000             1.50000             0.50012            15.00003             0.00117             0.00000               40278             0.61459                   0                   1
