          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             0.10000             0.20000            21.71199             3.93628            15.49431               32657             0.99661                   1                   1
                   3                  10               32768             1.00000             0.10000             0.30000            16.98396             2.01039             4.04166               32559             0.99362                   1                   1
                   3                  10               32768             1.00000             0.10000             0.40000            15.37127             0.84792             0.71896               32435             0.98984                   1                   1
                   3                  10               32768             1.00000             0.10000             0.60000            15.23775             0.68404             0.46791               32175             0.98190                   1                   1
                   3                  10               32768             1.00000             0.10000             0.70000            15.83395             1.28432             1.64948               32002             0.97662                   1                   1
                   3                  10               32768             1.00000             0.10000             0.80000            16.65275             1.83421             3.36434               31832             0.97144                   1                   1
                   3                  10               32768             1.00000             0.20000             0.20000            21.73262             3.95695            15.65742               32435             0.98984                   1                   1
                   3                  10               32768             1.00000             0.20000             0.30000            17.03563             1.98994             3.95986               32175             0.98190                   1                   1
                   3                  10               32768             1.00000             0.20000             0.40000            15.39104             0.84656             0.71666               31832             0.97144                   1                   1
                   3                  10               32768             1.00000             0.20000             0.60000            15.24009             0.69484             0.48280               30992             0.94580                   1                   1
                   3                  10               32768             1.00000             0.20000             0.70000            15.85043             1.30433             1.70129               30508             0.93103                   1                   1
                   3                  10               32768             1.00000             0.20000             0.80000            16.67463             1.84001             3.38562               30048             0.91699                   1                   1
                   3                  10               32768             1.00000             0.30000             0.20000            21.82016             3.91769            15.34832               32175             0.98190                   1                   1
                   3                  10               32768             1.00000             0.30000             0.30000            17.03938             2.02793             4.11249               31653             0.96597                   1                   1
                   3                  10               32768             1.00000             0.30000             0.40000            15.38716             0.85276             0.72719               30992             0.94580                   1                   1
                   3                  10               32768             1.00000             0.30000             0.60000            15.25363             0.68754             0.47271               29498             0.90021                   1                   1
                   3                  10               32768             1.00000             0.30000             0.70000            15.85758             1.30477             1.70243               28674             0.87506                   1                   1
                   3                  10               32768             1.00000             0.30000             0.80000            16.69946             1.85359             3.43580               27793             0.84818                   1                   1
                   3                  10               32768             1.00000             0.40000             0.20000            21.82485             3.95061            15.60734               31832             0.97144                   1                   1
                   3                  10               32768             1.00000             0.40000             0.30000            17.02882             2.02135             4.08585               30992             0.94580                   1                   1
                   3                  10               32768             1.00000             0.40000             0.40000            15.38094             0.84923             0.72120               30048             0.91699                   1                   1
                   3                  10               32768             1.00000             0.40000             0.60000            15.25450             0.69708             0.48592               27793             0.84818                   1                   1
                   3                  10               32768             1.00000             0.40000             0.70000            15.87121             1.32839             1.76463               26613             0.81216                   1                   1
                   3                  10               32768             1.00000             0.40000             0.80000            16.72835             1.88533             3.55447               25346             0.77350                   1                   1
                   3                  10               32768             1.00000             0.50000             0.20000            21.78632             3.97482            15.79919               31436             0.95935                   1                   1
                   3                  10               32768             1.00000             0.50000             0.30000            16.99529             2.01325             4.05318               30271             0.92380                   1                   1
