          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               32768             1.00000             0.10000             0.20000            16.40681             3.83047            14.67246               32324             0.98645                   0                   1
                   3                  10               32768             1.00000             0.10000             0.30000            15.31192             2.04199             4.16974               32165             0.98160                   0                   1
                   3                  10               32768             1.00000             0.10000             0.40000            14.96173             0.89277             0.79703               32035             0.97763                   0                   1
                   3                  10               32768             1.00000             0.10000             0.60000            15.40799             0.67432             0.45471               31819             0.97104                   0                   1
                   3                  10               32768             1.00000             0.10000             0.70000            16.10040             1.22147             1.49199               31724             0.96814                   0                   1
                   3                  10               32768             1.00000             0.10000             0.80000            17.09510             1.61030             2.59306               31639             0.96555                   0                   1
                   3                  10               32768             1.00000             0.20000             0.20000            20.73302             3.79849            14.42854               31653             0.96597                   0                   1
                   3                  10               32768             1.00000             0.20000             0.30000            16.69225             1.68180             2.82847               31354             0.95685                   0                   1
                   3                  10               32768             1.00000             0.20000             0.40000            15.26085             0.67750             0.45900               31130             0.95001                   0                   1
                   3                  10               32768             1.00000             0.20000             0.60000            15.32273             0.56098             0.31470               30733             0.93790                   0                   1
                   3                  10               32768             1.00000             0.20000             0.70000            16.02582             1.07925             1.16478               30581             0.93326                   0                   1
                   3                  10               32768             1.00000             0.20000             0.80000            17.06387             1.50338             2.26014               30443             0.92905                   0                   1
                   3                  10               32768             1.00000             0.30000             0.20000            21.27672             3.30811            10.94358               31020             0.94666                   0                   1
                   3                  10               32768             1.00000             0.30000             0.30000            16.73966             1.67209             2.79588               30631             0.93478                   0                   1
                   3                  10               32768             1.00000             0.30000             0.40000            15.21605             0.71129             0.50594               30339             0.92587                   0                   1
                   3                  10               32768             1.00000             0.30000             0.60000            15.27995             0.58299             0.33988               29847             0.91086                   0                   1
                   3                  10               32768             1.00000             0.30000             0.70000            15.93193             1.06604             1.13644               29604             0.90344                   0                   1
                   3                  10               32768             1.00000             0.30000             0.80000            16.70170             1.62213             2.63131               29431             0.89816                   0                   1
                   3                  10               32768             1.00000             0.40000             0.20000            20.96417             3.18453            10.14126               30446             0.92914                   0                   1
                   3                  10               32768             1.00000             0.40000             0.30000            16.89216             1.67364             2.80107               30004             0.91565                   0                   1
                   3                  10               32768             1.00000             0.40000             0.40000            15.37243             0.72784             0.52975               29590             0.90302                   0                   1
                   3                  10               32768             1.00000             0.40000             0.60000            15.29568             0.59778             0.35734               28843             0.88022                   0                   1
                   3                  10               32768             1.00000             0.40000             0.70000            15.93979             1.15556             1.33532               28553             0.87137                   0                   1
                   3                  10               32768             1.00000             0.40000             0.80000            16.87893             1.59960             2.55872               28241             0.86185                   0                   1
                   3                  10               32768             1.00000             0.50000             0.20000            21.68073             3.30162            10.90066               29938             0.91364                   0                   1
                   3                  10               32768             1.00000             0.50000             0.30000            16.93583             1.76765             3.12459               29350             0.89569                   0                   1
                   3                  10               32768             1.00000             0.50000             0.40000            15.30793             0.72914             0.53164               28778             0.87823                   0                   1
                   3                  10               32768             1.00000             0.50000             0.60000            15.31305             0.61476             0.37793               27890             0.85114                   0                   1
                   3                  10               32768             1.00000             0.50000             0.70000            15.98221             1.19790             1.43497               27529             0.84012                   0                   1
                   3                  10               32768             1.00000             0.50000             0.80000            16.81623             1.72056             2.96033               27188             0.82971                   0                   1
                   3                  10               32768             1.00000             0.60000             0.20000            21.63156             3.41248            11.64505               29412             0.89758                   0                   1
                   3                  10               32768             1.00000             0.60000             0.30000            16.82303             1.72079             2.96112               28625             0.87357                   0                   1
