          Dimensions           Particles         Metro-steps            Eq-steps          StepLength                Time          Analytical              Energy          Energy_std
                   3                   1               10000              100000             0.20000              192027                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              231830                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              195721                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              232427                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              199932                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              243413                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              197693                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              233940                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              190569                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              231814                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              197535                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              243315                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              194577                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              236640                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              199390                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              245859                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              193651                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              241192                   0             1.50462             0.15483
                   3                   1               10000              100000             0.20000              191946                   1             1.50462             0.15483
                   3                   1               10000              100000             0.20000              230818                   0             1.50462             0.15483
                   3                   2               20000              100000             0.20000              249671                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              404220                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              259740                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              404127                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              248812                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              405208                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              259479                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              438403                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              268717                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              432394                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              267402                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              448171                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              263218                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              508426                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              289770                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              419390                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              267881                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              450339                   0             3.01424             0.22438
                   3                   2               20000              100000             0.20000              263445                   1             3.01424             0.22438
                   3                   2               20000              100000             0.20000              452717                   0             3.01424             0.22438
                   3                   3               30000              100000             0.20000              347925                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              819647                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              340659                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              746433                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              326580                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              679233                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              330053                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              745685                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              327113                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              746712                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              337282                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              757008                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              327300                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              745576                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              329693                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              749727                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              328479                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              747745                   0             4.54680             0.33114
                   3                   3               30000              100000             0.20000              328232                   1             4.54680             0.33114
                   3                   3               30000              100000             0.20000              749897                   0             4.54680             0.33114
                   3                   4               40000              100000             0.20000              433744                   1             6.08157             0.37141
                   3                   4               40000              100000             0.20000             1182294                   0             6.08157             0.37141
                   3                   4               40000              100000             0.20000              438328                   1             6.08157             0.37141
