          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10               65536             1.50000             0.20000            21.38514             4.05087            16.40958             0.20000                   0             0.20000             0.00000
                   3                  10               65536             1.50000             0.43661            15.10791             0.50950             0.25959             0.20000                   1             0.43661             0.00000
                   3                  10               65536             1.50000             0.44984            15.09767             0.42538             0.18095             0.20000                   2             0.44984             0.00000
                   3                  10               65536             1.50000             0.46134            15.04012             0.31718             0.10060             0.20000                   3             0.46134             0.00000
                   3                  10               65536             1.50000             0.46954            15.03444             0.24581             0.06042             0.20000                   4             0.46954             0.00000
                   3                  10               65536             1.50000             0.47574            15.03476             0.20159             0.04064             0.20000                   5             0.47574             0.00000
                   3                  10               65536             1.50000             0.48093            15.01566             0.15415             0.02376             0.20000                   6             0.48093             0.00000
                   3                  10               65536             1.50000             0.48478            15.01401             0.12067             0.01456             0.20000                   7             0.48478             0.00000
                   3                  10               65536             1.50000             0.48772            15.00517             0.09475             0.00898             0.20000                   8             0.48772             0.00000
                   3                  10               65536             1.50000             0.48996            15.00783             0.08259             0.00682             0.20000                   9             0.48996             0.00000
                   3                  10               65536             1.50000             0.49204            15.00345             0.06270             0.00393             0.20000                  10             0.49204             0.00000
                   3                  10               65536             1.50000             0.49355            15.00091             0.05033             0.00253             0.20000                  11             0.49355             0.00000
                   3                  10               65536             1.50000             0.49475            15.00248             0.03948             0.00156             0.20000                  12             0.49475             0.00000
                   3                  10               65536             1.50000             0.49565            15.00240             0.03466             0.00120             0.20000                  13             0.49565             0.00000
                   3                  10               65536             1.50000             0.49649            15.00146             0.02732             0.00075             0.20000                  14             0.49649             0.00000
                   3                  10               65536             1.50000             0.49714            15.00008             0.02271             0.00052             0.20000                  15             0.49714             0.00000
                   3                  10               65536             1.50000             0.49768            15.00052             0.01797             0.00032             0.20000                  16             0.49768             0.00000
                   3                  10               65536             1.50000             0.49811            14.99993             0.01461             0.00021             0.20000                  17             0.49811             0.00000
                   3                  10               65536             1.50000             0.49845            15.00095             0.01265             0.00016             0.20000                  18             0.49845             0.00000
                   3                  10               65536             1.50000             0.49876            15.00038             0.00907             0.00008             0.20000                  19             0.49876             0.00000
                   3                  10               65536             1.50000             0.49896            15.00079             0.00849             0.00007             0.20000                  20             0.49896             0.00000
                   3                  10               65536             1.50000             0.49917            15.00035             0.00661             0.00004             0.20000                  21             0.49917             0.00000
                   3                  10               65536             1.50000             0.49933            15.00031             0.00514             0.00003             0.20000                  22             0.49933             0.00000
                   3                  10               65536             1.50000             0.49945            15.00012             0.00442             0.00002             0.20000                  23             0.49945             0.00000
                   3                  10               65536             1.50000             0.49956            15.00005             0.00332             0.00001             0.20000                  24             0.49956             0.00000
                   3                  10               65536             1.50000             0.49964            15.00017             0.00298             0.00001             0.20000                  25             0.49964             0.00000
                   3                  10               65536             1.50000             0.49971            15.00014             0.00236             0.00001             0.20000                  26             0.49971             0.00000
                   3                  10               65536             1.50000             0.49977            15.00012             0.00188             0.00000             0.20000                  27             0.49977             0.00000
                   3                  10               65536             1.50000             0.49981            15.00003             0.00150             0.00000             0.20000                  28             0.49981             0.00000
                   3                  10               65536             1.50000             0.49985            15.00005             0.00116             0.00000             0.20000                  29             0.49985             0.00000
                   3                  10               65536             1.50000             0.49988            15.00005             0.00116             0.00000             0.20000                  30             0.49988             0.00000
                   3                  10               65536             1.50000             0.30000            16.95001             2.08152             4.33271             0.30000                   0             0.30000             0.00000
                   3                  10               65536             1.50000             0.38199            15.51764             1.05747             1.11825             0.30000                   1             0.38199             0.00000
                   3                  10               65536             1.50000             0.41453            15.29100             0.75759             0.57394             0.30000                   2             0.41453             0.00000
                   3                  10               65536             1.50000             0.43676            15.12791             0.53528             0.28652             0.30000                   3             0.43676             0.00000
                   3                  10               65536             1.50000             0.45140            15.09148             0.40527             0.16424             0.30000                   4             0.45140             0.00000
                   3                  10               65536             1.50000             0.46216            15.05565             0.31831             0.10132             0.30000                   5             0.46216             0.00000
                   3                  10               65536             1.50000             0.47059            15.04277             0.24666             0.06084             0.30000                   6             0.47059             0.00000
                   3                  10               65536             1.50000             0.47704            15.02741             0.18585             0.03454             0.30000                   7             0.47704             0.00000
                   3                  10               65536             1.50000             0.48170            15.00926             0.13842             0.01916             0.30000                   8             0.48170             0.00000
                   3                  10               65536             1.50000             0.48493            15.01168             0.12233             0.01497             0.30000                   9             0.48493             0.00000
                   3                  10               65536             1.50000             0.48799            15.00704             0.09341             0.00873             0.30000                  10             0.48799             0.00000
                   3                  10               65536             1.50000             0.49021            15.00129             0.07641             0.00584             0.30000                  11             0.49021             0.00000
                   3                  10               65536             1.50000             0.49203            15.00493             0.06125             0.00375             0.30000                  12             0.49203             0.00000
                   3                  10               65536             1.50000             0.49347            15.00448             0.05275             0.00278             0.30000                  13             0.49347             0.00000
                   3                  10               65536             1.50000             0.49477            15.00400             0.04041             0.00163             0.30000                  14             0.49477             0.00000
                   3                  10               65536             1.50000             0.49572            15.00094             0.03470             0.00120             0.30000                  15             0.49572             0.00000
                   3                  10               65536             1.50000             0.49658            15.00087             0.02627             0.00069             0.30000                  16             0.49658             0.00000
