          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                   1              131072             1.50000             0.51000             1.50052             0.02407             0.00058             0.51000                   0             0.51000             0.00000
                   3                   1              131072             1.50000             0.50943             1.50019             0.02292             0.00053             0.51000                   1             0.50943             0.00000
                   3                   1              131072             1.50000             0.50887             1.50021             0.02166             0.00047             0.51000                   2             0.50887             0.00000
                   3                   1              131072             1.50000             0.50835             1.50046             0.02002             0.00040             0.51000                   3             0.50835             0.00000
                   3                   1              131072             1.50000             0.50787             1.49987             0.01950             0.00038             0.51000                   4             0.50787             0.00000
                   3                   1              131072             1.50000             0.50739             1.50041             0.01769             0.00031             0.51000                   5             0.50739             0.00000
                   3                   1              131072             1.50000             0.50697             1.50011             0.01695             0.00029             0.51000                   6             0.50697             0.00000
                   3                   1              131072             1.50000             0.50657             1.50002             0.01622             0.00026             0.51000                   7             0.50657             0.00000
                   3                   1              131072             1.50000             0.50617             1.50017             0.01509             0.00023             0.51000                   8             0.50617             0.00000
                   3                   1              131072             1.50000             0.50580             1.50013             0.01394             0.00019             0.51000                   9             0.50580             0.00000
                   3                   1              131072             1.50000             0.50547             1.50027             0.01320             0.00017             0.51000                  10             0.50547             0.00000
                   3                   1              131072             1.50000             0.50515             1.50011             0.01262             0.00016             0.51000                  11             0.50515             0.00000
                   3                   1              131072             1.50000             0.50484             1.50027             0.01160             0.00013             0.51000                  12             0.50484             0.00000
                   3                   1              131072             1.50000             0.50457             1.49997             0.01128             0.00013             0.51000                  13             0.50457             0.00000
                   3                   1              131072             1.50000             0.50429             1.50015             0.01036             0.00011             0.51000                  14             0.50429             0.00000
                   3                   1              131072             1.50000             0.50404             1.49990             0.01003             0.00010             0.51000                  15             0.50404             0.00000
                   3                   1              131072             1.50000             0.50379             1.50014             0.00928             0.00009             0.51000                  16             0.50379             0.00000
                   3                   1              131072             1.50000             0.50357             1.50005             0.00863             0.00007             0.51000                  17             0.50357             0.00000
                   3                   1              131072             1.50000             0.50336             1.50003             0.00814             0.00007             0.51000                  18             0.50336             0.00000
                   3                   1              131072             1.50000             0.50316             1.50010             0.00768             0.00006             0.51000                  19             0.50316             0.00000
                   3                   1              131072             1.50000             0.50298             1.50003             0.00725             0.00005             0.51000                  20             0.50298             0.00000
                   3                   1              131072             1.50000             0.50280             1.49995             0.00696             0.00005             0.51000                  21             0.50280             0.00000
                   3                   1              131072             1.50000             0.50263             1.50008             0.00641             0.00004             0.51000                  22             0.50263             0.00000
                   3                   1              131072             1.50000             0.50247             1.49999             0.00615             0.00004             0.51000                  23             0.50247             0.00000
                   3                   1              131072             1.50000             0.50232             1.50000             0.00563             0.00003             0.51000                  24             0.50232             0.00000
                   3                   1              131072             1.50000             0.50218             1.50005             0.00535             0.00003             0.51000                  25             0.50218             0.00000
                   3                   1              131072             1.50000             0.50205             1.50007             0.00497             0.00002             0.51000                  26             0.50205             0.00000
                   3                   1              131072             1.50000             0.50193             1.49998             0.00479             0.00002             0.51000                  27             0.50193             0.00000
                   3                   1              131072             1.50000             0.50181             1.49994             0.00455             0.00002             0.51000                  28             0.50181             0.00000
                   3                   1              131072             1.50000             0.50170             1.50001             0.00414             0.00002             0.51000                  29             0.50170             0.00000
                   3                   1              131072             1.50000             0.50160             1.50001             0.00391             0.00002             0.51000                  30             0.50160             0.00000
                   3                   1              131072             1.50000             0.50150             1.50001             0.00391             0.00002             0.51000                  31             0.50150             0.00000
                   3                  10              131072             1.50000             0.51000            15.16081             0.09795             0.00959             0.51000                   0             0.51000             0.00000
                   3                  10              131072             1.50000             0.50779            15.15706             0.08228             0.00677             0.51000                   1             0.50779             0.00000
                   3                  10              131072             1.50000             0.50592            15.15187             0.06914             0.00478             0.51000                   2             0.50592             0.00000
                   3                  10              131072             1.50000             0.50432            15.15342             0.05644             0.00319             0.51000                   3             0.50432             0.00000
