          Dimensions           Particles         Metro-steps          StepLength                 WF1              Energy          Energy_std          Energy_var             Alpha_0               Epoch               Alpha                Beta
                   3                  10               10000             0.10000             0.10000            10.56920             2.68040             7.18455             0.10000                   0             0.10000             0.00000
                   3                  10               10000             0.10000             0.39936            15.01862             0.73706             0.54326             0.10000                   1             0.39936             0.00000
                   3                  10               10000             0.10000             0.45937            14.80561             0.27892             0.07779             0.10000                   2             0.45937             0.00000
                   3                  10               10000             0.10000             0.47933            14.87743             0.12677             0.01607             0.10000                   3             0.47933             0.00000
                   3                  10               10000             0.10000             0.48728            14.82444             0.04962             0.00246             0.10000                   4             0.48728             0.00000
                   3                  10               10000             0.10000             0.48924            14.84772             0.03961             0.00157             0.10000                   5             0.48924             0.00000
                   3                  10               10000             0.10000             0.49071            14.93457             0.08178             0.00669             0.10000                   6             0.49071             0.00000
                   3                  10               10000             0.10000             0.49798            14.97881             0.01082             0.00012             0.10000                   7             0.49798             0.00000
                   3                  10               10000             0.10000             0.49856            14.98313             0.00853             0.00007             0.10000                   8             0.49856             0.00000
                   3                  10               10000             0.10000             0.49906            14.98920             0.00382             0.00001             0.10000                   9             0.49906             0.00000
                   3                  10               10000             0.10000             0.49921            14.99146             0.00246             0.00001             0.10000                  10             0.49921             0.00000
                   3                  10               10000             0.10000             0.49929            14.99393             0.00450             0.00002             0.10000                  11             0.49929             0.00000
                   3                  10               10000             0.10000             0.49958            14.99434             0.00233             0.00001             0.10000                  12             0.49958             0.00000
                   3                  10               10000             0.10000             0.49970            14.99660             0.00100             0.00000             0.10000                  13             0.49970             0.00000
                   3                  10               10000             0.10000             0.49974            14.99675             0.00072             0.00000             0.10000                  14             0.49974             0.00000
                   3                  10               10000             0.10000             0.49976            14.99724             0.00090             0.00000             0.10000                  15             0.49976             0.00000
                   3                  10               10000             0.10000             0.49979            14.99842             0.00157             0.00000             0.10000                  16             0.49979             0.00000
                   3                  10               10000             0.10000             0.49991            14.99924             0.00046             0.00000             0.10000                  17             0.49991             0.00000
                   3                  10               10000             0.10000             0.49993            14.99902             0.00022             0.00000             0.10000                  18             0.49993             0.00000
                   3                  10               10000             0.10000             0.49994            14.99929             0.00024             0.00000             0.10000                  19             0.49994             0.00000
                   3                  10               10000             0.10000             0.49995            14.99931             0.00035             0.00000             0.10000                  20             0.49995             0.00000
                   3                  10               10000             0.10000             0.49998            14.99981             0.00016             0.00000             0.10000                  21             0.49998             0.00000
                   3                  10               10000             0.10000             0.49999            14.99978             0.00003             0.00000             0.10000                  22             0.49999             0.00000
                   3                  10               10000             0.10000             0.49999            14.99978             0.00003             0.00000             0.10000                  23             0.49999             0.00000
                   3                  10               10000             0.10000             0.20000            11.76395             1.78852             3.19879             0.20000                   0             0.20000             0.00000
                   3                  10               10000             0.10000             0.35232            15.02300             1.14166             1.30338             0.20000                   1             0.35232             0.00000
                   3                  10               10000             0.10000             0.45587            14.78911             0.30932             0.09568             0.20000                   2             0.45587             0.00000
                   3                  10               10000             0.10000             0.47856            14.86841             0.13501             0.01823             0.20000                   3             0.47856             0.00000
                   3                  10               10000             0.10000             0.48724            14.82042             0.04941             0.00244             0.20000                   4             0.48724             0.00000
                   3                  10               10000             0.10000             0.48918            14.84507             0.03963             0.00157             0.20000                   5             0.48918             0.00000
                   3                  10               10000             0.10000             0.49065            14.93377             0.08205             0.00673             0.20000                   6             0.49065             0.00000
                   3                  10               10000             0.10000             0.49792            14.97820             0.01127             0.00013             0.20000                   7             0.49792             0.00000
                   3                  10               10000             0.10000             0.49853            14.98283             0.00872             0.00008             0.20000                   8             0.49853             0.00000
                   3                  10               10000             0.10000             0.49905            14.98917             0.00394             0.00002             0.20000                   9             0.49905             0.00000
                   3                  10               10000             0.10000             0.49922            14.99157             0.00256             0.00001             0.20000                  10             0.49922             0.00000
                   3                  10               10000             0.10000             0.49930            14.99391             0.00447             0.00002             0.20000                  11             0.49930             0.00000
                   3                  10               10000             0.10000             0.49959            14.99448             0.00233             0.00001             0.20000                  12             0.49959             0.00000
                   3                  10               10000             0.10000             0.49972            14.99674             0.00096             0.00000             0.20000                  13             0.49972             0.00000
                   3                  10               10000             0.10000             0.49975            14.99681             0.00070             0.00000             0.20000                  14             0.49975             0.00000
                   3                  10               10000             0.10000             0.49977            14.99731             0.00088             0.00000             0.20000                  15             0.49977             0.00000
                   3                  10               10000             0.10000             0.49980            14.99842             0.00147             0.00000             0.20000                  16             0.49980             0.00000
                   3                  10               10000             0.10000             0.49991            14.99922             0.00046             0.00000             0.20000                  17             0.49991             0.00000
                   3                  10               10000             0.10000             0.49993            14.99899             0.00022             0.00000             0.20000                  18             0.49993             0.00000
                   3                  10               10000             0.10000             0.49994            14.99929             0.00026             0.00000             0.20000                  19             0.49994             0.00000
                   3                  10               10000             0.10000             0.49995            14.99930             0.00035             0.00000             0.20000                  20             0.49995             0.00000
                   3                  10               10000             0.10000             0.49998            14.99981             0.00016             0.00000             0.20000                  21             0.49998             0.00000
                   3                  10               10000             0.10000             0.49999            14.99978             0.00003             0.00000             0.20000                  22             0.49999             0.00000
                   3                  10               10000             0.10000             0.49999            14.99978             0.00003             0.00000             0.20000                  23             0.49999             0.00000
                   3                  10               10000             0.10000             0.30000            12.75186             1.08821             1.18420             0.30000                   0             0.30000             0.00000
                   3                  10               10000             0.10000             0.37401            14.94952             0.95143             0.90522             0.30000                   1             0.37401             0.00000
                   3                  10               10000             0.10000             0.45622            14.76993             0.31315             0.09806             0.30000                   2             0.45622             0.00000
                   3                  10               10000             0.10000             0.47964            14.86013             0.12967             0.01681             0.30000                   3             0.47964             0.00000
                   3                  10               10000             0.10000             0.48807            14.82805             0.04538             0.00206             0.30000                   4             0.48807             0.00000
                   3                  10               10000             0.10000             0.48982            14.85438             0.03877             0.00150             0.30000                   5             0.48982             0.00000
                   3                  10               10000             0.10000             0.49131            14.93776             0.07725             0.00597             0.30000                   6             0.49131             0.00000
                   3                  10               10000             0.10000             0.49824            14.98088             0.00989             0.00010             0.30000                   7             0.49824             0.00000
                   3                  10               10000             0.10000             0.49880            14.98575             0.00731             0.00005             0.30000                   8             0.49880             0.00000
                   3                  10               10000             0.10000             0.49925            14.99110             0.00323             0.00001             0.30000                   9             0.49925             0.00000
                   3                  10               10000             0.10000             0.49939            14.99318             0.00207             0.00000             0.30000                  10             0.49939             0.00000
                   3                  10               10000             0.10000             0.49946            14.99510             0.00356             0.00001             0.30000                  11             0.49946             0.00000
                   3                  10               10000             0.10000             0.49969            14.99575             0.00181             0.00000             0.30000                  12             0.49969             0.00000
                   3                  10               10000             0.10000             0.49979            14.99760             0.00074             0.00000             0.30000                  13             0.49979             0.00000
                   3                  10               10000             0.10000             0.49982            14.99765             0.00052             0.00000             0.30000                  14             0.49982             0.00000
                   3                  10               10000             0.10000             0.49984            14.99804             0.00065             0.00000             0.30000                  15             0.49984             0.00000
                   3                  10               10000             0.10000             0.49986            14.99884             0.00102             0.00000             0.30000                  16             0.49986             0.00000
                   3                  10               10000             0.10000             0.49994            14.99943             0.00032             0.00000             0.30000                  17             0.49994             0.00000
                   3                  10               10000             0.10000             0.49995            14.99931             0.00015             0.00000             0.30000                  18             0.49995             0.00000
                   3                  10               10000             0.10000             0.49996            14.99952             0.00018             0.00000             0.30000                  19             0.49996             0.00000
                   3                  10               10000             0.10000             0.49997            14.99954             0.00023             0.00000             0.30000                  20             0.49997             0.00000
                   3                  10               10000             0.10000             0.49998            14.99987             0.00011             0.00000             0.30000                  21             0.49998             0.00000
                   3                  10               10000             0.10000             0.49999            14.99986             0.00002             0.00000             0.30000                  22             0.49999             0.00000
                   3                  10               10000             0.10000             0.49999            14.99986             0.00002             0.00000             0.30000                  23             0.49999             0.00000
                   3                  10               10000             0.10000             0.40000            13.83725             0.47479             0.22542             0.40000                   0             0.40000             0.00000
                   3                  10               10000             0.10000             0.42505            14.96012             0.53783             0.28926             0.40000                   1             0.42505             0.00000
                   3                  10               10000             0.10000             0.46677            14.82520             0.23866             0.05696             0.40000                   2             0.46677             0.00000
                   3                  10               10000             0.10000             0.48449            14.89318             0.09975             0.00995             0.40000                   3             0.48449             0.00000
                   3                  10               10000             0.10000             0.49101            14.86990             0.03449             0.00119             0.40000                   4             0.49101             0.00000
                   3                  10               10000             0.10000             0.49235            14.89048             0.02913             0.00085             0.40000                   5             0.49235             0.00000
                   3                  10               10000             0.10000             0.49346            14.95184             0.05927             0.00351             0.40000                   6             0.49346             0.00000
                   3                  10               10000             0.10000             0.49887            14.98758             0.00634             0.00004             0.40000                   7             0.49887             0.00000
                   3                  10               10000             0.10000             0.49923            14.99081             0.00470             0.00002             0.40000                   8             0.49923             0.00000
                   3                  10               10000             0.10000             0.49952            14.99425             0.00207             0.00000             0.40000                   9             0.49952             0.00000
                   3                  10               10000             0.10000             0.49961            14.99558             0.00131             0.00000             0.40000                  10             0.49961             0.00000
                   3                  10               10000             0.10000             0.49965            14.99681             0.00226             0.00001             0.40000                  11             0.49965             0.00000
                   3                  10               10000             0.10000             0.49980            14.99726             0.00115             0.00000             0.40000                  12             0.49980             0.00000
                   3                  10               10000             0.10000             0.49987            14.99845             0.00049             0.00000             0.40000                  13             0.49987             0.00000
                   3                  10               10000             0.10000             0.49988            14.99847             0.00033             0.00000             0.40000                  14             0.49988             0.00000
                   3                  10               10000             0.10000             0.49989            14.99873             0.00043             0.00000             0.40000                  15             0.49989             0.00000
                   3                  10               10000             0.10000             0.49991            14.99924             0.00066             0.00000             0.40000                  16             0.49991             0.00000
                   3                  10               10000             0.10000             0.49996            14.99963             0.00020             0.00000             0.40000                  17             0.49996             0.00000
                   3                  10               10000             0.10000             0.49997            14.99956             0.00010             0.00000             0.40000                  18             0.49997             0.00000
                   3                  10               10000             0.10000             0.49997            14.99968             0.00011             0.00000             0.40000                  19             0.49997             0.00000
