          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                  10               10000             1.00000             0.10000             0.49999            14.99978             0.00003             0.00000                9802             0.98020                   0                   1
                   3                  10               10000             1.00000             0.10000             0.49999            14.99978             0.00003             0.00000                9800             0.98000                   0                   1
                   3                  10               10000             1.00000             0.10000             0.49999            14.99986             0.00002             0.00000                9803             0.98030                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            14.99991             0.00001             0.00000                9804             0.98040                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            15.00000             0.00000             0.00000                9763             0.97630                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50001            15.00021             0.00003             0.00000                9807             0.98070                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            15.00000             0.00000             0.00000                9773             0.97730                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            15.00000             0.00000             0.00000                9753             0.97530                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            15.00000             0.00000             0.00000                9754             0.97540                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            15.00000             0.00001             0.00000                9754             0.97540                   0                   1
                   3                  10               10000             1.00000             0.10000             0.50000            15.00001             0.00001             0.00000                9754             0.97540                   0                   1
