          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                   3                  32             1.00000             0.50000             0.51000             4.51010             0.03912             0.00153                  28             0.87500                   1                   1
                   3                   3                  32             1.00000             1.50000             0.51000             4.48224             0.01460             0.00021                  21             0.65625                   0                   1
                   3                   3                  40             1.00000             0.50000             0.51000             4.50401             0.03765             0.00142                  34             0.85000                   1                   1
                   3                   3                  40             1.00000             1.50000             0.51000             4.48481             0.01462             0.00021                  28             0.70000                   0                   1
                   3                   3                  51             1.00000             0.50000             0.51000             4.49941             0.03697             0.00137                  43             0.84314                   1                   1
                   3                   3                  51             1.00000             1.50000             0.51000             4.48932             0.01640             0.00027                  36             0.70588                   0                   1
                   3                   3                  65             1.00000             0.50000             0.51000             4.50216             0.03428             0.00118                  57             0.87692                   1                   1
                   3                   3                  65             1.00000             1.50000             0.51000             4.50273             0.03027             0.00092                  44             0.67692                   0                   1
                   3                   3                  83             1.00000             0.50000             0.51000             4.50003             0.03634             0.00132                  73             0.87952                   1                   1
                   3                   3                  83             1.00000             1.50000             0.51000             4.50831             0.02928             0.00086                  53             0.63855                   0                   1
                   3                   3                 106             1.00000             0.50000             0.51000             4.50525             0.03767             0.00142                  94             0.88679                   1                   1
                   3                   3                 106             1.00000             1.50000             0.51000             4.50409             0.02776             0.00077                  65             0.61321                   0                   1
                   3                   3                 135             1.00000             0.50000             0.51000             4.50510             0.03589             0.00129                 120             0.88889                   1                   1
                   3                   3                 135             1.00000             1.50000             0.51000             4.50404             0.02828             0.00080                  83             0.61481                   0                   1
                   3                   3                 172             1.00000             0.50000             0.51000             4.50635             0.03425             0.00117                 147             0.85465                   1                   1
                   3                   3                 172             1.00000             1.50000             0.51000             4.49613             0.04724             0.00223                 112             0.65116                   0                   1
                   3                   3                 219             1.00000             0.50000             0.51000             4.50438             0.03371             0.00114                 187             0.85388                   1                   1
                   3                   3                 219             1.00000             1.50000             0.51000             4.48357             0.05060             0.00256                 142             0.64840                   0                   1
                   3                   3                 278             1.00000             0.50000             0.51000             4.50394             0.03721             0.00138                 233             0.83813                   1                   1
                   3                   3                 278             1.00000             1.50000             0.51000             4.48913             0.04681             0.00219                 169             0.60791                   0                   1
                   3                   3                 354             1.00000             0.50000             0.51000             4.50433             0.03794             0.00144                 303             0.85593                   1                   1
                   3                   3                 354             1.00000             1.50000             0.51000             4.49493             0.04430             0.00196                 214             0.60452                   0                   1
                   3                   3                 450             1.00000             0.50000             0.51000             4.50417             0.03743             0.00140                 382             0.84889                   1                   1
                   3                   3                 450             1.00000             1.50000             0.51000             4.49797             0.04153             0.00172                 270             0.60000                   0                   1
                   3                   3                 573             1.00000             0.50000             0.51000             4.50545             0.03567             0.00127                 480             0.83770                   1                   1
                   3                   3                 573             1.00000             1.50000             0.51000             4.49544             0.04215             0.00178                 344             0.60035                   0                   1
                   3                   3                 729             1.00000             0.50000             0.51000             4.50726             0.03604             0.00130                 608             0.83402                   1                   1
                   3                   3                 729             1.00000             1.50000             0.51000             4.50061             0.04042             0.00163                 433             0.59396                   0                   1
                   3                   3                 927             1.00000             0.50000             0.51000             4.50619             0.03766             0.00142                 775             0.83603                   1                   1
                   3                   3                 927             1.00000             1.50000             0.51000             4.50658             0.03902             0.00152                 549             0.59223                   0                   1
                   3                   3                1179             1.00000             0.50000             0.51000             4.50525             0.03850             0.00148                 991             0.84054                   1                   1
                   3                   3                1179             1.00000             1.50000             0.51000             4.51081             0.03787             0.00143                 697             0.59118                   0                   1
                   3                   3                1500             1.00000             0.50000             0.51000             4.50495             0.03957             0.00157                1262             0.84133                   1                   1
                   3                   3                1500             1.00000             1.50000             0.51000             4.50877             0.03778             0.00143                 893             0.59533                   0                   1
                   3                   3                1908             1.00000             0.50000             0.51000             4.50364             0.04036             0.00163                1616             0.84696                   1                   1
                   3                   3                1908             1.00000             1.50000             0.51000             4.50907             0.03773             0.00142                1145             0.60010                   0                   1
                   3                   3                2426             1.00000             0.50000             0.51000             4.50315             0.04060             0.00165                2056             0.84749                   1                   1
                   3                   3                2426             1.00000             1.50000             0.51000             4.50986             0.03833             0.00147                1472             0.60676                   0                   1
                   3                   3                3086             1.00000             0.50000             0.51000             4.50124             0.04086             0.00167                2614             0.84705                   1                   1
                   3                   3                3086             1.00000             1.50000             0.51000             4.51064             0.03759             0.00141                1877             0.60823                   0                   1
                   3                   3                3925             1.00000             0.50000             0.51000             4.50004             0.04115             0.00169                3317             0.84510                   1                   1
                   3                   3                3925             1.00000             1.50000             0.51000             4.51066             0.03738             0.00140                2404             0.61248                   0                   1
                   3                   3                4993             1.00000             0.50000             0.51000             4.50124             0.04159             0.00173                4211             0.84338                   1                   1
                   3                   3                4993             1.00000             1.50000             0.51000             4.50939             0.03793             0.00144                3024             0.60565                   0                   1
                   3                   3                6350             1.00000             0.50000             0.51000             4.50025             0.04226             0.00179                5358             0.84378                   1                   1
                   3                   3                6350             1.00000             1.50000             0.51000             4.50670             0.03866             0.00149                3856             0.60724                   0                   1
                   3                   3                8076             1.00000             0.50000             0.51000             4.50186             0.04173             0.00174                6767             0.83791                   1                   1
                   3                   3                8076             1.00000             1.50000             0.51000             4.50822             0.03765             0.00142                4935             0.61107                   0                   1
                   3                   3               10272             1.00000             0.50000             0.51000             4.50112             0.04200             0.00176                8617             0.83888                   1                   1
                   3                   3               10272             1.00000             1.50000             0.51000             4.50599             0.03951             0.00156                6300             0.61332                   0                   1
                   3                   3               13065             1.00000             0.50000             0.51000             4.50020             0.04254             0.00181               10972             0.83980                   1                   1
                   3                   3               13065             1.00000             1.50000             0.51000             4.50536             0.04060             0.00165                7986             0.61125                   0                   1
                   3                   3               16617             1.00000             0.50000             0.51000             4.50000             0.04245             0.00180               13944             0.83914                   1                   1
                   3                   3               16617             1.00000             1.50000             0.51000             4.50533             0.04153             0.00172               10148             0.61070                   0                   1
                   3                   3               21135             1.00000             0.50000             0.51000             4.50003             0.04238             0.00180               17765             0.84055                   1                   1
                   3                   3               21135             1.00000             1.50000             0.51000             4.50440             0.04121             0.00170               12894             0.61008                   0                   1
                   3                   3               26880             1.00000             0.50000             0.51000             4.50024             0.04241             0.00180               22547             0.83880                   1                   1
                   3                   3               26880             1.00000             1.50000             0.51000             4.50372             0.04109             0.00169               16354             0.60841                   0                   1
                   3                   3               34188             1.00000             0.50000             0.51000             4.50008             0.04257             0.00181               28656             0.83819                   1                   1
                   3                   3               34188             1.00000             1.50000             0.51000             4.50278             0.04135             0.00171               20786             0.60799                   0                   1
                   3                   3               43482             1.00000             0.50000             0.51000             4.50062             0.04232             0.00179               36412             0.83740                   1                   1
                   3                   3               43482             1.00000             1.50000             0.51000             4.50263             0.04136             0.00171               26459             0.60850                   0                   1
                   3                   3               55304             1.00000             0.50000             0.51000             4.50044             0.04264             0.00182               46397             0.83894                   1                   1
                   3                   3               55304             1.00000             1.50000             0.51000             4.50242             0.04141             0.00171               33782             0.61084                   0                   1
                   3                   3               70339             1.00000             0.50000             0.51000             4.50053             0.04240             0.00180               59018             0.83905                   1                   1
                   3                   3               70339             1.00000             1.50000             0.51000             4.50142             0.04180             0.00175               42973             0.61094                   0                   1
                   3                   3               89461             1.00000             0.50000             0.51000             4.50104             0.04212             0.00177               75008             0.83844                   1                   1
                   3                   3               89461             1.00000             1.50000             0.51000             4.50056             0.04232             0.00179               54665             0.61105                   0                   1
                   3                   3              113782             1.00000             0.50000             0.51000             4.50093             0.04201             0.00176               95388             0.83834                   1                   1
                   3                   3              113782             1.00000             1.50000             0.51000             4.50134             0.04164             0.00173               69537             0.61114                   0                   1
                   3                   3              144715             1.00000             0.50000             0.51000             4.50088             0.04208             0.00177              121451             0.83924                   1                   1
                   3                   3              144715             1.00000             1.50000             0.51000             4.50141             0.04146             0.00172               88386             0.61076                   0                   1
                   3                   3              184057             1.00000             0.50000             0.51000             4.50082             0.04191             0.00176              154430             0.83903                   1                   1
                   3                   3              184057             1.00000             1.50000             0.51000             4.50166             0.04135             0.00171              112408             0.61072                   0                   1
                   3                   3              234095             1.00000             0.50000             0.51000             4.50090             0.04200             0.00176              196150             0.83791                   1                   1
                   3                   3              234095             1.00000             1.50000             0.51000             4.50171             0.04140             0.00171              143013             0.61092                   0                   1
                   3                   3              297735             1.00000             0.50000             0.51000             4.50095             0.04202             0.00177              249654             0.83851                   1                   1
                   3                   3              297735             1.00000             1.50000             0.51000             4.50177             0.04145             0.00172              181736             0.61040                   0                   1
                   3                   3              378678             1.00000             0.50000             0.51000             4.50112             0.04192             0.00176              317317             0.83796                   1                   1
                   3                   3              378678             1.00000             1.50000             0.51000             4.50222             0.04122             0.00170              231247             0.61067                   0                   1
                   3                   3              481625             1.00000             0.50000             0.51000             4.50114             0.04189             0.00175              403555             0.83790                   1                   1
                   3                   3              481625             1.00000             1.50000             0.51000             4.50189             0.04159             0.00173              294052             0.61054                   0                   1
                   3                   3              612559             1.00000             0.50000             0.51000             4.50118             0.04192             0.00176              513416             0.83815                   1                   1
                   3                   3              612559             1.00000             1.50000             0.51000             4.50173             0.04178             0.00175              374031             0.61060                   0                   1
                   3                   3              779088             1.00000             0.50000             0.51000             4.50108             0.04194             0.00176              653173             0.83838                   1                   1
                   3                   3              779088             1.00000             1.50000             0.51000             4.50146             0.04212             0.00177              475678             0.61056                   0                   1
                   3                   3              990891             1.00000             0.50000             0.51000             4.50102             0.04196             0.00176              830658             0.83829                   1                   1
                   3                   3              990891             1.00000             1.50000             0.51000             4.50130             0.04202             0.00177              605108             0.61067                   0                   1
                   3                   3             1260274             1.00000             0.50000             0.51000             4.50105             0.04198             0.00176             1056110             0.83800                   1                   1
                   3                   3             1260274             1.00000             1.50000             0.51000             4.50128             0.04207             0.00177              769807             0.61083                   0                   1
                   3                   3             1602891             1.00000             0.50000             0.51000             4.50106             0.04198             0.00176             1343371             0.83809                   1                   1
                   3                   3             1602891             1.00000             1.50000             0.51000             4.50120             0.04212             0.00177              978866             0.61069                   0                   1
                   3                   3             2038651             1.00000             0.50000             0.51000             4.50103             0.04196             0.00176             1708629             0.83812                   1                   1
                   3                   3             2038651             1.00000             1.50000             0.51000             4.50117             0.04206             0.00177             1245281             0.61084                   0                   1
                   3                   3             2592877             1.00000             0.50000             0.51000             4.50101             0.04198             0.00176             2173023             0.83807                   1                   1
                   3                   3             2592877             1.00000             1.50000             0.51000             4.50114             0.04199             0.00176             1583842             0.61084                   0                   1
                   3                   3             3297774             1.00000             0.50000             0.51000             4.50104             0.04194             0.00176             2763608             0.83802                   1                   1
                   3                   3             3297774             1.00000             1.50000             0.51000             4.50110             0.04199             0.00176             2014096             0.61074                   0                   1
                   3                   3             4194304             1.00000             0.50000             0.51000             4.50098             0.04197             0.00176             3515274             0.83811                   1                   1
                   3                   3             4194304             1.00000             1.50000             0.51000             4.50096             0.04202             0.00177             2562326             0.61091                   0                   1
