          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                   3                   1             1.00000             0.10000             0.60000             4.61960             0.00000             0.00000                   1             1.00000                   1                   1
                   3                   3                   1             1.00000             0.60000             0.60000             3.66460             0.00000             0.00000                   1             1.00000                   0                   1
                   3                   3                   2             1.00000             0.10000             0.60000             4.61207             0.00753             0.00006                   2             1.00000                   1                   1
                   3                   3                   2             1.00000             0.60000             0.60000             3.78924             0.12464             0.01554                   2             1.00000                   0                   1
                   3                   3                   4             1.00000             0.10000             0.60000             4.65868             0.06249             0.00390                   4             1.00000                   1                   1
                   3                   3                   4             1.00000             0.60000             0.60000             3.88221             0.13495             0.01821                   4             1.00000                   0                   1
                   3                   3                  11             1.00000             0.10000             0.60000             4.79634             0.12324             0.01519                  11             1.00000                   1                   1
                   3                   3                  11             1.00000             0.60000             0.60000             3.90956             0.09756             0.00952                   9             0.81818                   0                   1
                   3                   3                  24             1.00000             0.10000             0.60000             4.71633             0.16968             0.02879                  22             0.91667                   1                   1
                   3                   3                  24             1.00000             0.60000             0.60000             4.06695             0.16891             0.02853                  18             0.75000                   0                   1
                   3                   3                  55             1.00000             0.10000             0.60000             4.59603             0.22538             0.05079                  53             0.96364                   1                   1
                   3                   3                  55             1.00000             0.60000             0.60000             4.00656             0.17383             0.03022                  45             0.81818                   0                   1
                   3                   3                 123             1.00000             0.10000             0.60000             4.66067             0.22270             0.04959                 120             0.97561                   1                   1
                   3                   3                 123             1.00000             0.60000             0.60000             4.39089             0.41047             0.16849                 101             0.82114                   0                   1
                   3                   3                 275             1.00000             0.10000             0.60000             4.67801             0.28903             0.08354                 269             0.97818                   1                   1
                   3                   3                 275             1.00000             0.60000             0.60000             4.64433             0.38764             0.15026                 222             0.80727                   0                   1
                   3                   3                 614             1.00000             0.10000             0.60000             4.52811             0.50041             0.25041                 605             0.98534                   1                   1
                   3                   3                 614             1.00000             0.60000             0.60000             4.43877             0.39461             0.15572                 505             0.82248                   0                   1
                   3                   3                1371             1.00000             0.10000             0.60000             4.55341             0.41851             0.17515                1352             0.98614                   1                   1
                   3                   3                1371             1.00000             0.60000             0.60000             4.57532             0.34166             0.11673                1121             0.81765                   0                   1
                   3                   3                3059             1.00000             0.10000             0.60000             4.59700             0.40786             0.16635                3009             0.98365                   1                   1
                   3                   3                3059             1.00000             0.60000             0.60000             4.57939             0.39952             0.15962                2499             0.81693                   0                   1
                   3                   3                6826             1.00000             0.10000             0.60000             4.58955             0.39339             0.15475                6719             0.98432                   1                   1
                   3                   3                6826             1.00000             0.60000             0.60000             4.57682             0.36105             0.13036                5577             0.81702                   0                   1
                   3                   3               15231             1.00000             0.10000             0.60000             4.59936             0.38532             0.14847               14976             0.98326                   1                   1
                   3                   3               15231             1.00000             0.60000             0.60000             4.61940             0.38605             0.14903               12588             0.82647                   0                   1
                   3                   3               33985             1.00000             0.10000             0.60000             4.59127             0.37714             0.14223               33413             0.98317                   1                   1
                   3                   3               33985             1.00000             0.60000             0.60000             4.62045             0.38073             0.14495               28174             0.82901                   0                   1
                   3                   3               75832             1.00000             0.10000             0.60000             4.59345             0.37985             0.14428               74471             0.98205                   1                   1
                   3                   3               75832             1.00000             0.60000             0.60000             4.58556             0.37910             0.14372               62577             0.82521                   0                   1
                   3                   3              169205             1.00000             0.10000             0.60000             4.58383             0.38329             0.14691              166089             0.98158                   1                   1
                   3                   3              169205             1.00000             0.60000             0.60000             4.59118             0.37791             0.14282              139677             0.82549                   0                   1
                   3                   3              377551             1.00000             0.10000             0.60000             4.58124             0.38479             0.14806              370416             0.98110                   1                   1
                   3                   3              377551             1.00000             0.60000             0.60000             4.58251             0.37938             0.14393              311487             0.82502                   0                   1
                   3                   3              842437             1.00000             0.10000             0.60000             4.57796             0.38596             0.14896              826579             0.98118                   1                   1
                   3                   3              842437             1.00000             0.60000             0.60000             4.57948             0.38682             0.14963              694922             0.82489                   0                   1
                   3                   3             1879744             1.00000             0.10000             0.60000             4.57649             0.38690             0.14969             1844421             0.98121                   1                   1
                   3                   3             1879744             1.00000             0.60000             0.60000             4.57523             0.39013             0.15220             1549053             0.82408                   0                   1
                   3                   3             4194304             1.00000             0.10000             0.60000             4.57690             0.38705             0.14981             4115654             0.98125                   1                   1
                   3                   3             4194304             1.00000             0.60000             0.60000             4.57598             0.38855             0.15097             3455730             0.82391                   0                   1
