          Dimensions           Particles         Metro-steps               Omega          StepLength                 WF1              Energy          Energy_std          Energy_var       Accept_number        Accept_ratio        Imposampling          Analytical
                   3                   3                   1             1.00000             0.01000             0.60000             5.33241             0.00000             0.00000                   1             1.00000                   1                   1
                   3                   3                   1             1.00000             0.40000             0.60000             5.28310             0.00000             0.00000                   1             1.00000                   0                   1
                   3                   3                   2             1.00000             0.01000             0.60000             5.31983             0.01258             0.00016                   2             1.00000                   1                   1
                   3                   3                   2             1.00000             0.40000             0.60000             5.28486             0.00176             0.00000                   2             1.00000                   0                   1
                   3                   3                   4             1.00000             0.01000             0.60000             5.31140             0.01226             0.00015                   4             1.00000                   1                   1
                   3                   3                   4             1.00000             0.40000             0.60000             5.29015             0.00544             0.00003                   4             1.00000                   0                   1
                   3                   3                  10             1.00000             0.01000             0.60000             5.29353             0.01817             0.00033                  10             1.00000                   1                   1
                   3                   3                  10             1.00000             0.40000             0.60000             5.31259             0.02009             0.00040                  10             1.00000                   0                   1
                   3                   3                  23             1.00000             0.01000             0.60000             5.27360             0.02410             0.00058                  23             1.00000                   1                   1
                   3                   3                  23             1.00000             0.40000             0.60000             5.28765             0.03836             0.00147                  20             0.86957                   0                   1
                   3                   3                  51             1.00000             0.01000             0.60000             5.28922             0.02928             0.00086                  51             1.00000                   1                   1
                   3                   3                  51             1.00000             0.40000             0.60000             5.20945             0.09081             0.00825                  47             0.92157                   0                   1
                   3                   3                 112             1.00000             0.01000             0.60000             5.24614             0.08584             0.00737                 112             1.00000                   1                   1
                   3                   3                 112             1.00000             0.40000             0.60000             4.94974             0.29416             0.08653                  96             0.85714                   0                   1
                   3                   3                 248             1.00000             0.01000             0.60000             4.98127             0.26644             0.07099                 248             1.00000                   1                   1
                   3                   3                 248             1.00000             0.40000             0.60000             4.91799             0.22514             0.05069                 214             0.86290                   0                   1
                   3                   3                 545             1.00000             0.01000             0.60000             4.78374             0.29981             0.08989                 544             0.99817                   1                   1
                   3                   3                 545             1.00000             0.40000             0.60000             4.59447             0.36718             0.13482                 461             0.84587                   0                   1
                   3                   3                1199             1.00000             0.01000             0.60000             4.54908             0.36945             0.13650                1197             0.99833                   1                   1
                   3                   3                1199             1.00000             0.40000             0.60000             4.58949             0.32852             0.10793                1039             0.86656                   0                   1
                   3                   3                2636             1.00000             0.01000             0.60000             4.65129             0.35083             0.12308                2633             0.99886                   1                   1
                   3                   3                2636             1.00000             0.40000             0.60000             4.61968             0.35394             0.12527                2332             0.88467                   0                   1
                   3                   3                5796             1.00000             0.01000             0.60000             4.59818             0.34267             0.11742                5791             0.99914                   1                   1
                   3                   3                5796             1.00000             0.40000             0.60000             4.61296             0.39232             0.15392                5157             0.88975                   0                   1
                   3                   3               12742             1.00000             0.01000             0.60000             4.65153             0.31471             0.09904               12733             0.99929                   1                   1
                   3                   3               12742             1.00000             0.40000             0.60000             4.59939             0.38585             0.14888               11280             0.88526                   0                   1
                   3                   3               28013             1.00000             0.01000             0.60000             4.60869             0.37762             0.14260               27995             0.99936                   1                   1
                   3                   3               28013             1.00000             0.40000             0.60000             4.59877             0.38008             0.14446               24847             0.88698                   0                   1
                   3                   3               61584             1.00000             0.01000             0.60000             4.57164             0.38101             0.14517               61546             0.99938                   1                   1
                   3                   3               61584             1.00000             0.40000             0.60000             4.59218             0.38042             0.14472               54468             0.88445                   0                   1
                   3                   3              135387             1.00000             0.01000             0.60000             4.57114             0.38592             0.14893              135304             0.99939                   1                   1
                   3                   3              135387             1.00000             0.40000             0.60000             4.56685             0.38666             0.14951              119523             0.88282                   0                   1
                   3                   3              297635             1.00000             0.01000             0.60000             4.57531             0.39717             0.15774              297461             0.99942                   1                   1
                   3                   3              297635             1.00000             0.40000             0.60000             4.56649             0.39632             0.15707              262664             0.88250                   0                   1
                   3                   3              654318             1.00000             0.01000             0.60000             4.57076             0.40071             0.16057              653928             0.99940                   1                   1
                   3                   3              654318             1.00000             0.40000             0.60000             4.57918             0.38889             0.15124              577635             0.88280                   0                   1
                   3                   3             1438449             1.00000             0.01000             0.60000             4.57533             0.39376             0.15505             1437589             0.99940                   1                   1
                   3                   3             1438449             1.00000             0.40000             0.60000             4.57949             0.38636             0.14928             1269045             0.88223                   0                   1
                   3                   3             3162277             1.00000             0.01000             0.60000             4.57147             0.39306             0.15450             3160354             0.99939                   1                   1
                   3                   3             3162277             1.00000             0.40000             0.60000             4.57641             0.38674             0.14957             2788760             0.88188                   0                   1
