     Dimensions      Particles    Metro-steps          Omega     StepLength            WF1         Energy     Energy_std     Energy_var
              3              1        1000000        1.00000        0.10000        0.10000        3.67177        2.83431        8.03330
              3              1        1000000        1.00000        0.10000        0.20000        2.11409        1.30682        1.70778
              3              1        1000000        1.00000        0.10000        0.30000        1.68025        0.67832        0.46012
              3              1        1000000        1.00000        0.10000        0.40000        1.53148        0.28405        0.08069
              3              1        1000000        1.00000        0.10000        0.50000        1.50000        0.00000        0.00000
              3              1        1000000        1.00000        0.10000        0.60000        1.52478        0.23420        0.05485
              3              1        1000000        1.00000        0.10000        0.70000        1.58280        0.43592        0.19003
              3              1        1000000        1.00000        0.10000        0.80000        1.66311        0.61851        0.38256
              3              1        1000000        1.00000        0.10000        0.90000        1.76103        0.78692        0.61924
              3              1        1000000        1.00000        0.10000        1.00000        1.86684        0.95005        0.90260
              3              1        1000000        1.00000        0.10000        1.10000        1.98196        1.10041        1.21091
              3             10        1000000        1.00000        0.10000        0.10000       37.81645        7.66240       58.71242
              3             10        1000000        1.00000        0.10000        0.20000       21.49083        3.32746       11.07199
              3             10        1000000        1.00000        0.10000        0.30000       16.88656        1.74115        3.03160
              3             10        1000000        1.00000        0.10000        0.40000       15.34421        0.74274        0.55166
              3             10        1000000        1.00000        0.10000        0.50000       15.00000        0.00000        0.00000
              3             10        1000000        1.00000        0.10000        0.60000       15.26483        0.63190        0.39930
              3             10        1000000        1.00000        0.10000        0.70000       15.88870        1.20953        1.46297
              3             10        1000000        1.00000        0.10000        0.80000       16.70959        1.77702        3.15781
              3             10        1000000        1.00000        0.10000        0.90000       17.72592        2.29728        5.27751
              3             10        1000000        1.00000        0.10000        1.00000       18.80137        2.79276        7.79950
              3             10        1000000        1.00000        0.10000        1.10000       19.92922        3.29477       10.85549
              3            100        1000000        1.00000        0.10000        0.10000      312.44609       59.62502     3555.14359
              3            100        1000000        1.00000        0.10000        0.20000      202.73274       16.96271      287.73353
              3            100        1000000        1.00000        0.10000        0.30000      164.86757        6.93870       48.14563
              3            100        1000000        1.00000        0.10000        0.40000      152.07459        2.75035        7.56441
              3            100        1000000        1.00000        0.10000        0.50000      150.00000        0.00000        0.00000
              3            100        1000000        1.00000        0.10000        0.60000      153.41364        2.38350        5.68105
              3            100        1000000        1.00000        0.10000        0.70000      160.09265        4.43972       19.71111
              3            100        1000000        1.00000        0.10000        0.80000      168.69248        6.41582       41.16275
              3            100        1000000        1.00000        0.10000        0.90000      178.91306        8.24049       67.90570
              3            100        1000000        1.00000        0.10000        1.00000      190.14744        9.92099       98.42596
              3            100        1000000        1.00000        0.10000        1.10000      201.88172       11.61816      134.98175
              3            500        1000000        1.00000        0.10000        0.10000      724.18570      207.10770    42893.59957
              3            500        1000000        1.00000        0.10000        0.20000      704.77139      122.67502    15049.16126
              3            500        1000000        1.00000        0.10000        0.30000      706.16556       65.11313     4239.72001
              3            500        1000000        1.00000        0.10000        0.40000      721.90454       25.99198      675.58290
              3            500        1000000        1.00000        0.10000        0.50000      750.00000        0.00000        0.00000
              3            500        1000000        1.00000        0.10000        0.60000      787.18588       17.52576      307.15219
              3            500        1000000        1.00000        0.10000        0.70000      829.74267       28.83414      831.40773
              3            500        1000000        1.00000        0.10000        0.80000      878.70327       36.58237     1338.26992
              3            500        1000000        1.00000        0.10000        0.90000      932.16266       40.27248     1621.87287
              3            500        1000000        1.00000        0.10000        1.00000      989.30770       42.24079     1784.28455
              3            500        1000000        1.00000        0.10000        1.10000     1049.20959       42.71106     1824.23439
