     Dimensions      Particles    Metro-steps          Omega     StepLength            WF1         Energy     Energy_std     Energy_var  Accept_number   Accept_ratio
              2              1        1000000        1.00000        0.10000        0.10000        2.45142        2.12141        4.50040         990600        0.99060
              2              1        1000000        1.00000        0.10000        0.20000        1.38333        0.95128        0.90494         986734        0.98673
              2              1        1000000        1.00000        0.10000        0.30000        1.09943        0.49053        0.24062         983719        0.98372
              2              1        1000000        1.00000        0.10000        0.40000        1.01339        0.20949        0.04389         981147        0.98115
              2              1        1000000        1.00000        0.10000        0.50000        1.00000        0.00000        0.00000         978963        0.97896
              2              1        1000000        1.00000        0.10000        0.60000        1.02487        0.17251        0.02976         976914        0.97691
              2              1        1000000        1.00000        0.10000        0.70000        1.07001        0.32571        0.10609         975144        0.97514
              2              1        1000000        1.00000        0.10000        0.80000        1.13067        0.46244        0.21385         973346        0.97335
              2              1        1000000        1.00000        0.10000        0.90000        1.20018        0.59015        0.34828         971629        0.97163
              2              1        1000000        1.00000        0.10000        1.00000        1.27634        0.71272        0.50797         970064        0.97006
              2              1        1000000        1.00000        0.10000        1.10000        1.35502        0.83209        0.69237         968611        0.96861
              2             10        1000000        1.00000        0.10000        0.10000       27.09089        7.54216       56.88415         990264        0.99026
              2             10        1000000        1.00000        0.10000        0.20000       14.46169        3.04508        9.27252         986434        0.98643
              2             10        1000000        1.00000        0.10000        0.30000       11.32687        1.55296        2.41167         983489        0.98349
              2             10        1000000        1.00000        0.10000        0.40000       10.26001        0.66385        0.44070         980916        0.98092
              2             10        1000000        1.00000        0.10000        0.50000       10.00000        0.00000        0.00000         978719        0.97872
              2             10        1000000        1.00000        0.10000        0.60000       10.16246        0.54491        0.29692         976665        0.97667
              2             10        1000000        1.00000        0.10000        0.70000       10.54955        1.03113        1.06323         974824        0.97482
              2             10        1000000        1.00000        0.10000        0.80000       11.08134        1.47803        2.18456         973056        0.97306
              2             10        1000000        1.00000        0.10000        0.90000       11.69562        1.90345        3.62312         971390        0.97139
              2             10        1000000        1.00000        0.10000        1.00000       12.38113        2.31164        5.34366         969783        0.96978
              2             10        1000000        1.00000        0.10000        1.10000       13.14614        2.71997        7.39823         968307        0.96831
              2            100        1000000        1.00000        0.50000        0.10000      258.79663       25.68203      659.56684         952073        0.95207
              2            100        1000000        1.00000        0.50000        0.20000      144.02620       10.26442      105.35823         932355        0.93236
              2            100        1000000        1.00000        0.50000        0.30000      112.81922        5.27352       27.80998         917109        0.91711
              2            100        1000000        1.00000        0.50000        0.40000      102.20831        2.18087        4.75621         904410        0.90441
              2            100        1000000        1.00000        0.50000        0.50000      100.00000        0.00000        0.00000         893051        0.89305
              2            100        1000000        1.00000        0.50000        0.60000      101.84558        1.76222        3.10540         882962        0.88296
              2            100        1000000        1.00000        0.50000        0.70000      106.02059        3.22204       10.38151         873855        0.87386
              2            100        1000000        1.00000        0.50000        0.80000      111.55722        4.70376       22.12534         865123        0.86512
              2            100        1000000        1.00000        0.50000        0.90000      118.20009        5.98094       35.77165         857154        0.85715
              2            100        1000000        1.00000        0.50000        1.00000      125.43480        7.33649       53.82403         849350        0.84935
              2            100        1000000        1.00000        0.50000        1.10000      133.49173        8.39892       70.54179         842017        0.84202
              2            500        1000000        1.00000        1.00000        0.10000     1302.38886       49.68417     2468.51692         903840        0.90384
              2            500        1000000        1.00000        1.00000        0.20000      722.44343       23.57569      555.81303         864639        0.86464
              2            500        1000000        1.00000        1.00000        0.30000      565.89003       12.08251      145.98716         834710        0.83471
              2            500        1000000        1.00000        1.00000        0.40000      512.40540        5.10943       26.10632         809655        0.80966
              2            500        1000000        1.00000        1.00000        0.50000      500.00000        0.00000        0.00000         787895        0.78790
              2            500        1000000        1.00000        1.00000        0.60000      508.65224        4.04560       16.36690         768458        0.76846
              2            500        1000000        1.00000        1.00000        0.70000      529.16121        7.26008       52.70872         750663        0.75066
              2            500        1000000        1.00000        1.00000        0.80000      557.16248       10.87007      118.15848         734214        0.73421
              2            500        1000000        1.00000        1.00000        0.90000      590.15065       13.67278      186.94483         719211        0.71921
              2            500        1000000        1.00000        1.00000        1.00000      625.96376       16.65407      277.35820         705224        0.70522
              2            500        1000000        1.00000        1.00000        1.10000      663.16283       19.90498      396.20822         691673        0.69167
