     Dimensions      Particles    Metro-steps          Omega     StepLength            WF1         Energy     Energy_std     Energy_var  Accept_number   Accept_ratio   Imposampling     Analytical
              3              3           1000        1.00000        0.01000        0.30005        5.65706            nan      -16.00081           1999        1.99900              0              1
              3              3           1000        1.00000        0.01000        0.30061       10.98243            nan      -60.30501           1996        1.99600              0              1
              3              3           1000        1.00000        0.01000        0.50000        9.00000            nan      -40.50000           1995        1.99500              0              1
              3              3           1000        6.00000        0.01000        0.53593      196.94743            nan   -19389.99660           1995        1.99500              0              1
              3              3           1000        1.00000        0.01000        0.50000        9.00000            nan      -40.50000           1995        1.99500              0              1
              3              3          10000        1.00000        0.01000        0.50000        9.00000            nan      -40.50000          19981        1.99810              0              1
              3              3          10000        1.00000        0.01000        0.40073        7.38916            nan      -27.29891          19985        1.99850              0              1
              3              3          10000        1.00000        0.01000        0.40073        7.38916            nan      -27.29891          19985        1.99850              0              1
              3              3          10000        1.00000        0.01000        0.40035       18.85074            nan     -284.25047          49955        4.99550              0              1
              3              3          10000        1.00000        0.01000        0.50000       22.50000            nan     -405.00000          49944        4.99440              0              1
              3              3          10000        1.00000        0.01000        0.50000       22.50000            nan     -405.00000          49944        4.99440              0              1
              3              3          10000        1.00000        0.01000        0.50000       22.50000            nan     -405.00000          49944        4.99440              0              1
              3              3          10000        1.00000        0.01000        0.50000       22.50000            nan     -405.00000          49944        4.99440              0              1
              3              3          10000        1.00000        0.01000        0.50000       22.50000            nan     -405.00000          49944        4.99440              0              1
              3              3          10000        1.00000        0.01000        0.50000       22.50000            nan     -485.99797          49944        4.99440              0              1
              3              3          10000        1.00000        0.01000        1.24047        6.65305        0.23768        0.05649           9973        0.99730              0              1
              3              3          10000        1.00000        0.01000        1.24047        6.65305        0.23768        0.05649           9973        0.99730              0              1
              3              3          10000        1.00000        0.01000        1.24047        6.65305        0.23768        0.05649           9973        0.99730              0              1
              3              3          10000        1.00000        0.01000        1.24047        6.65305        0.23768        0.05649           9973        0.99730              0              1
              3              3          10000        1.00000        0.01000        1.24047        6.65305        0.23768        0.05649           9973        0.99730              0              1
              1              1          10000        1.00000        0.01000        0.50048        0.50029        0.00002        0.00000           9991        0.99910              0              1
              3              3          10000        1.00000        0.01000        0.54394        4.68169        0.01316        0.00017           9985        0.99850              0              1
              3              3          10000        1.00000        0.01000        0.61432        5.19037        0.02669        0.00071           9983        0.99830              0              1
              3              3          10000        1.00000        0.01000       10.45028       40.02745       10.56459      111.61051           9858        0.98580              0              1
              3              3          10000        1.00000        0.01000        0.54394        4.68169        0.01316        0.00017           9985        0.99850              0              1
