n Particles;n Dimensions;n Metropolis Steps;Equilibration Fraction;Accepted Steps;Found Energy;Elapsed Time;n Parameters;Parameters (undefinedNumber)
1;1;10000;0.1;0.705412;0.507809;0.0249315;2;0.62;0
1;1;10000;0.1;0.761196;0.523561;0.0259287;2;0.38;0
1;1;10000;0.1;0.71119;0.503259;0.0259287;2;0.58;0
1;1;10000;0.1;0.73986;0.50353;0.0269264;2;0.46;0
1;1;10000;0.1;0.721191;0.501081;0.0259287;2;0.54;0
1;1;10000;0.1;0.749972;0.510093;0.0269264;2;0.42;0
1;1;10000;0.1;0.730748;0.5;0.0259287;2;0.5;0
1;2;10000;0.1;0.625847;1.01544;0.0388944;2;0.42;0
1;2;10000;0.1;0.584732;1.00222;0.0418869;2;0.54;0
1;2;10000;0.1;0.596288;1;0.0398938;2;0.5;0
1;2;10000;0.1;0.610512;1.00176;0.0418869;2;0.46;0
1;2;10000;0.1;0.645183;1.03842;0.0468734;2;0.38;0
1;2;10000;0.1;0.569841;1.01033;0.0299199;2;0.58;0
1;2;10000;0.1;0.555728;1.01859;0.0359044;2;0.62;0
1;3;10000;0.1;0.562396;1.5761;0.0458771;2;0.38;0
1;3;10000;0.1;0.524503;1.50447;0.0468748;2;0.46;0
1;3;10000;0.1;0.545727;1.52329;0.0478715;2;0.42;0
1;3;10000;0.1;0.504945;1.5;0.0508637;2;0.5;0
1;3;10000;0.1;0.492166;1.5014;0.0488693;2;0.54;0
1;3;10000;0.1;0.472164;1.51243;0.0528582;2;0.58;0
1;3;10000;0.1;0.464829;1.53833;0.0578453;2;0.62;0
10;1;10000;0.1;0.762696;5.17907;1.37134;2;0.38;0
10;1;10000;0.1;0.751417;5.0707;1.37931;2;0.42;0
10;1;10000;0.1;0.73037;5;1.37632;2;0.5;0
10;1;10000;0.1;0.720191;5.01932;1.3833;2;0.54;0
10;1;10000;0.1;0.701022;5.13351;1.38031;2;0.62;0
10;1;10000;0.1;0.739471;5.01208;1.41422;2;0.46;0
10;1;10000;0.1;0.709768;5.06957;1.42818;2;0.58;0
10;2;10000;0.1;0.642094;10.3984;2.49433;2;0.38;0
10;2;10000;0.1;0.608345;10.0321;2.52924;2;0.46;0
10;2;10000;0.1;0.62567;10.1578;2.57612;2;0.42;0
10;2;10000;0.1;0.578675;10.0347;2.55816;2;0.54;0
10;2;10000;0.1;0.593688;10;2.57611;2;0.5;0
10;2;10000;0.1;0.568608;10.1081;2.78057;2;0.58;0
10;2;10000;0.1;0.555428;10.2471;2.82844;2;0.62;0
10;3;10000;0.1;0.50819;15;3.99034;2;0.5;0
10;3;10000;0.1;0.522314;15.061;4.04918;2;0.46;0
10;3;10000;0.1;0.560451;15.6215;4.08011;2;0.38;0
10;3;10000;0.1;0.541582;15.2386;4.18282;2;0.42;0
10;3;10000;0.1;0.489654;15.04;4.19579;2;0.54;0
10;3;10000;0.1;0.473619;15.1577;4.03322;2;0.58;0
10;3;10000;0.1;0.462618;15.3044;4.01328;2;0.62;0
