n Particles;n Dimensions;n Metropolis Steps;Equilibration Fraction;Accepted Steps;Found Energy;Elapsed Time;n Parameters;Parameters (undefinedNumber)
1;1;10000;0.1;0.73986;0.50353;0.0229235;2;0.46;0.001
1;1;10000;0.1;0.73986;0.50353;0.0279103;2;0.46;0.01
1;1;10000;0.1;0.73986;0.50353;0.0269131;2;0.46;0.005
1;2;10000;0.1;0.610512;1.00176;0.0378836;2;0.46;0.01
1;2;10000;0.1;0.610512;1.00176;0.0388809;2;0.46;0.005
1;2;10000;0.1;0.610512;1.00176;0.0418729;2;0.46;0.001
1;3;10000;0.1;0.524503;1.50447;0.0488544;2;0.46;0.001
1;3;10000;0.1;0.524503;1.50447;0.0488544;2;0.46;0.005
1;3;10000;0.1;0.524503;1.50447;0.0508493;2;0.46;0.01
10;1;10000;0.1;0.739471;5.01208;1.34439;2;0.46;0.005
10;2;10000;0.1;0.608345;10.0321;2.52026;2;0.46;0.001
10;3;10000;0.1;0.522314;15.061;3.8936;2;0.46;0.005
10;1;10000;0.1;0.739471;5.01208;4.07011;2;0.46;0.001
10;1;10000;0.1;0.739471;5.01208;4.30348;2;0.46;0.01
10;2;10000;0.1;0.608345;10.0321;8.62296;2;0.46;0.01
10;2;10000;0.1;0.608345;10.0321;8.67981;2;0.46;0.005
10;3;10000;0.1;0.522314;15.061;11.0684;2;0.46;0.01
10;3;10000;0.1;0.522314;15.061;11.0983;2;0.46;0.001
100;1;10000;0.1;0.738854;50.1854;141.176;2;0.46;0.005
100;1;10000;0.1;0.738854;50.1854;142.308;2;0.46;0.001
100;1;10000;0.1;0.738854;50.1854;142.908;2;0.46;0.01
100;2;10000;0.1;0.610391;100.346;254.729;2;0.46;0.005
100;2;10000;0.1;0.610391;100.346;254.344;2;0.46;0.01
100;2;10000;0.1;0.610391;100.346;257.337;2;0.46;0.001
100;3;10000;0.1;0.523515;150.491;339.822;2;0.46;0.005
100;3;10000;0.1;0.523515;150.491;340.925;2;0.46;0.001
100;3;10000;0.1;0.523515;150.491;337.841;2;0.46;0.01
