n Particles;n Dimensions;n Metropolis Steps;Equilibration Fraction;Accepted Steps;Found Energy;Elapsed Time;n Parameters;Parameters (undefinedNumber)
1;1;300000;0.1;1;0.488017;0.918588;2;0.4;0.001
1;2;300000;0.1;0.988763;0.937712;1.10304;2;0.4;0.001
1;3;300000;0.1;0.984148;1.36387;1.29753;2;0.4;0.001
2;1;300000;0.1;0.999998;0.999715;2.25202;2;0.4;0.001
2;2;300000;0.1;0.999996;1.99938;2.51127;2;0.4;0.001
2;3;300000;0.1;0.984176;3.11809;2.82751;2;0.4;0.001
3;1;300000;0.1;0.863114;1.56312;3.75994;2;0.4;0.001
3;2;300000;0.1;0.998817;3.06054;6.36401;2;0.4;0.001
3;3;300000;0.1;0.999989;4.59085;5.95081;2;0.4;0.001


1;1;300000;0.1;0.999837;0.505938;1.56086;2;0.4;0.01
1;2;300000;0.1;0.960744;0.962239;1.2197;2;0.4;0.01
1;3;300000;0.1;0.945144;1.45202;1.31751;2;0.4;0.01
2;1;300000;0.1;0.999822;1.01443;2.27094;2;0.4;0.01
2;2;300000;0.1;0.999667;2.02683;2.53822;2;0.4;0.01
2;3;300000;0.1;0.948168;3.14103;2.93717;2;0.4;0.01
3;1;300000;0.1;0.884245;1.5414;3.769;2;0.4;0.01
3;2;300000;0.1;0.999486;3.0578;6.40291;2;0.4;0.01
3;3;300000;0.1;0.999542;4.58522;5.8693;2;0.4;0.01
